expression,annotation
要买单了（打开付款码）,"不确定目标理解,抗冗余表达干扰,情境感知,个性化知识理解,语义揣测,可靠执行,特定应用功能,特定语义功能,信息获取,信息处理,信息存储与提取"
播放《七里香》,"特定执行动作,特定语义功能,自主寻找,信息处理"
帮我给李小刚回复“稍等我一下，我马上下楼”消息,"不确定方法理解,语序语气理解,特定应用功能"
请帮我做一份汇报ppt,"不确定目标理解,个性化知识理解,隐性步骤提取,任务调度,特定应用功能,特定语义功能,信息获取,信息处理,信息存储与提取,专业,生成"
“这个调研怎么做”，微信回复文先生,"别名理解,倒装语序理解,特定应用功能,特定语义功能"
告诉我我买的吉他快递到哪了,"不确定方法理解,个性化知识理解,特定应用功能,特定语义功能,自主寻找,信息存储与提取"
寻找比较文学方面的文献,"模糊范围程度理解,特定语义功能,自主寻找,条件判断,偏好分析,信息处理,信息存储与提取,专业"
帮我查找近两年在社会心理学领域的高被引文章,"模糊范围程度理解,自主寻找,信息运算,信息分析,信息存储与提取"
打开猫耳fm继续播放,"特定执行动作,特定应用功能,特定语义功能"
【在闲鱼发布页】帮我决定转让物品的价格并发布链接,"特定应用功能,特定语义功能,信息获取,信息分析,信息存储与提取,通用"
请帮我打开淘宝app，并帮我点GUCCI旗舰店商家的男士香水,"语序语气理解,句子成分缺失理解,特定应用功能,特定语义功能,信息获取,条件判断"
附近有啥好玩的地方,"口语化表达理解,情境感知,个性化知识理解,自主寻找,条件判断,偏好分析,信息处理,信息存储与提取,通用"
再赢一把或者连输三把就睡（自动关机）,"模糊指代理解,语序语气理解,抗冗余表达干扰,情境感知,语义揣测,设置条件触发,特定执行动作,特定语义功能,信息获取,条件判断"
【对着论文pdf】请帮我总结这篇论文的主要内容，用人话,"定冠词指代理解,抗冗余表达干扰,个性化知识理解,自主寻找,信息分析,信息存储与提取,专业,生成"
帮我做一个excel表格,"不确定目标理解,个性化知识理解,语义揣测,特定应用功能,操作,信息处理,信息存储与提取"
帮我收拾东西,"不确定方法理解,不确定目标理解,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,特定语义功能,信息获取,信息处理"
请推荐扬州市的人文景区,"不确定方法理解,自主寻找,信息运算,条件判断,偏好分析,信息处理,信息存储与提取"
现在的天气情况,"情境感知,特定应用功能,自主寻找"
我想知道关于国际关系问题目前的前沿研究,"不确定目标理解,口语化表达理解,自主寻找,信息分析,信息存储与提取,专业"
评价今天的身体健康情况,"不确定目标理解,情境感知,个性化知识理解,信息权限,专业,情感"
帮我检测一下是否感冒发烧了,"情境感知,个性化知识理解,特定语义功能,自主寻找,设备联通,条件判断,信息处理,识别与理解"
和妈妈说最近比较忙，不得空回家吃饭,"不确定方法理解,别名理解,非常规表达理解,语序语气理解,隐性步骤提取,特定应用功能"
明天我能否骑行到天津,"模糊范围程度理解,个性化知识理解,特定语义功能,自主寻找,条件判断,信息处理,通用"
请帮我回复电子邮件，如果有需要我亲自看的告诉我,"不确定目标理解,口语化表达理解,情境感知,个性化知识理解,特定语义功能,信息权限,条件判断,信息处理,信息存储与提取"
播放搞笑视频,"特定执行动作,特定语义功能,信息获取,条件判断,偏好分析"
请帮我安排一顿好吃且能减肥的食谱,"不确定目标理解,非常规表达理解,情境感知,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,自主寻找,信息运算,条件判断,信息处理,信息存储与提取,专业,生成"
天猫精灵，给我讲个故事,"语序语气理解,情境感知,生成"
请帮我打开好友王小五的聊天框,"不确定方法理解,特定应用功能,特定语义功能,信息获取"
请帮我将这段旅行的所有素材剪成一个视频,"模糊范围程度理解,定冠词指代理解,情境感知,设置条件触发,隐性步骤提取,任务调度,特定执行动作,长任务,复杂任务,特定语义功能,信息权限,信息分析,信息存储与提取,识别与理解,通用,生成"
放首歌,"不确定方法理解,语序语气理解,个性化知识理解,特定执行动作,特定语义功能,偏好分析"
看一下我的组会汇报PPT，和我讨论有哪些做的好的、哪些做的不好的，我需要如何改进,"大信息量理解,情境感知,个性化知识理解,特定语义功能,信息获取,条件判断,信息处理,信息存储与提取,识别与理解,生成"
将刚才浏览时间较长的文献下载到作业文件夹,"特定执行动作,长任务,特定应用功能,特定语义功能,自主寻找,设备联通,信息分析,信息存储与提取"
附近哪里有可爱小狗（查找宠物店）,"情境感知,个性化知识理解,语义揣测,特定应用功能,自主寻找"
找个好吃的粤菜馆,"不确定目标理解,情境感知,特定语义功能,自主寻找,偏好分析"
天猫精灵，帮我推荐今日好物,"模糊范围程度理解,口语化表达理解,个性化知识理解,信息获取,信息处理"
预计一小时内有雨时提醒我收衣服,"个性化知识理解,设置条件触发,构建循环,隐性步骤提取,任务调度,特定执行动作,特定应用功能,特定语义功能,信息获取,条件判断,信息存储与提取"
hey，siri，外卖打电话过来就自动回复外卖就放门口吧,"不确定目标理解,缺失限定语理解,非常规表达理解,模糊表达理解,语序语气理解,句子成分缺失理解,理解,设置条件触发,隐性步骤提取,特定语义功能,自主寻找,条件判断,信息存储与提取,智能"
提供项目联系人信息并帮忙约对方开会时间后，自动订腾讯会议，会后自动出一份会议记录,"复杂指令理解,设置条件触发,任务调度,复杂任务,特定应用功能,特定语义功能,信息权限,信息处理,信息存储与提取,通用,生成"
帮我询问一下王小芳今晚什么时候有空打王者荣耀,"不确定方法理解,个性化知识理解,特定应用功能,特定语义功能"
帮我查询一下北京市7月21日的天气预报以及紫外线指数和穿衣指数,"大信息量理解,长任务,特定语义功能,自主寻找,条件判断"
我想知道我的今日运动训练计划是什么,"不确定方法理解,个性化知识理解,自主寻找,条件判断"
播放最近热门歌曲,"模糊范围程度理解,口语化表达理解,特定执行动作,特定应用功能,特定语义功能,信息获取,信息运算,条件判断,信息处理,信息存储与提取,智能"
桌面设置一个好吃的甜品照片,"缺失限定语理解,情境感知,特定应用功能,特定语义功能,自主寻找,信息权限,信息处理,信息存储与提取,生成"
【在材料页面】阅读我写好的辩诉材料，帮我修改,"情境感知,个性化知识理解,信息获取,条件判断,偏好分析,信息存储与提取,识别与理解,专业,生成"
如何提升摄影技巧,"不确定方法理解,别名理解,个性化知识理解,特定语义功能,自主寻找,条件判断,偏好分析,信息处理,通用,专业,生成"
检索并排列当前情况下kpl各战队胜负关系,"模糊范围程度理解,特定语义功能,自主寻找,信息运算,条件判断,信息处理,信息存储与提取"
帮我计划一下这周的日程,"情境感知,个性化知识理解,任务调度,信息权限,信息处理,信息存储与提取,通用"
请在15分钟后叫我,"口语化表达理解,设置条件触发,特定应用功能,特定语义功能"
导航到中关村,"不确定目标理解,模糊指代理解,特定应用功能,特定语义功能,信息获取"
给我妈报个平安,"不确定方法理解,模糊指代理解,语序语气理解,个性化知识理解,特定执行动作,生成"
【预约完一个咸鱼送货订单】定一个明早九点的闹钟,"不确定目标理解,口语化表达理解,情境感知,个性化知识理解,隐性步骤提取,特定应用功能,设备联通,条件判断"
请推荐一些成功创业的经管学长学姐公司的公众号并自动关注,"不确定目标理解,模糊指代理解,特定应用功能,特定语义功能,自主寻找,条件判断,信息存储与提取,通用"
设置下午一点的事项，需要去清华大学经管学院开会,"抗冗余表达干扰,语义揣测,隐性步骤提取,特定应用功能,特定语义功能,信息权限,信息存储与提取"
帮我写一首歌,"专业,生成"
【使用微信读书时】翻到下一页,"特定执行动作,特定应用功能"
【在车上】有点热（开空调）,"模糊范围程度理解,情境感知,语义揣测,隐性步骤提取,特定执行动作,特定语义功能,通用"
请帮我询问快递员小树林快递点在哪里，要怎么去，并在手机地图里打开导航,"不确定方法理解,不确定目标理解,抗冗余表达干扰,复杂逻辑理解,大信息量理解,个性化知识理解,隐性步骤提取,特定应用功能,特定语义功能,信息权限,信息处理,信息存储与提取,通用"
帮我对《未来简史》写一篇读书整理,"个性化知识理解,自主寻找,信息分析,信息存储与提取,生成"
定一个明早9点的闹钟,"不确定方法理解,特定应用功能,特定语义功能,信息获取"
请帮我做一个国奖答辩ppt，要酷炫,"不确定目标理解,抗冗余表达干扰,情境感知,个性化知识理解,任务调度,特定应用功能,信息获取,信息处理,信息存储与提取,专业,生成"
导航到五道口购物中心充电站,"缺失限定语理解,特定语义功能,信息获取,信息处理,信息存储与提取"
打开大众点评，搜索附近5km内评分较高的美食店铺,"模糊范围程度理解,情境感知,语义揣测,特定应用功能,特定语义功能,信息获取,条件判断,信息处理,信息存储与提取"
帮我校对一下这些材料，整理一份校对结果,"定冠词指代理解,抗冗余表达干扰,任务调度,特定语义功能,信息获取,信息处理,信息存储与提取,通用,生成"
打开语音备忘录,"特定应用,特定语义功能"
请明天务必帮我抢到周杰伦的票,"不确定目标理解,抗冗余表达干扰,个性化知识理解,可靠执行,特定应用功能,特定语义功能,信息权限,条件判断"
让我室友帮我取快递,"不确定方法理解,缺失限定语理解,个性化知识理解,隐性步骤提取,特定应用功能,信息获取,生成"
请帮我决定接下来一个月的食谱，要健康，不能重样,"不确定目标理解,情境感知,个性化知识理解,隐性步骤提取,任务调度,信息获取,条件判断,偏好分析,信息存储与提取,生成"
请播放我关注的up主的最新视频,"缺失限定语理解,口语化表达理解,个性化知识理解,特定应用功能,特定语义功能,信息获取,条件判断,信息处理,信息存储与提取"
播放一首周深的歌曲,"不确定目标理解,特定执行动作,特定语义功能,信息获取,条件判断"
这个组员太划水了，你发段消息提点一下他,"不确定方法理解,定冠词指代理解,口语化表达理解,情境感知,个性化知识理解,隐性步骤提取,特定执行动作,信息处理,情感,生成"
请帮我做一个个人简历，要能体现我的牛逼,"不确定目标理解,非常规表达理解,抗冗余表达干扰,情境感知,个性化知识理解,信息获取,信息处理,信息存储与提取,通用,生成"
我目前正准备一个团建活动，帮我做出一份完整的团建方案,"抗冗余表达干扰,情境感知,个性化知识理解,隐性步骤提取,任务调度,特定应用功能,自主寻找,信息运算,条件判断,偏好分析,信息处理,信息存储与提取,生成"
帮我做一个生日蛋糕,"不确定方法理解,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,特定语义功能,信息获取,信息运算,偏好分析,信息存储与提取,通用"
【驾驶时】我要先去看展（改变导航目的地）,"不确定方法理解,不确定目标理解,模糊指代理解,情境感知,个性化知识理解,语义揣测,隐性步骤提取,任务调度,特定应用功能,特定语义功能,信息权限,信息存储与提取"
告诉我现在我需要完成的最紧急的工作是什么，最重要的工作是什么,"不确定方法理解,不确定目标理解,情境感知,特定语义功能,信息权限,条件判断,偏好分析,信息处理,识别与理解"
把这段话翻译成英文并且润色,"定冠词指代理解,特定语义功能,自主寻找,信息分析,信息存储与提取,通用,生成"
【上课时】我想走神一会，帮我记一下,"不确定方法理解,语序语气理解,句子成分缺失理解,抗冗余表达干扰,情境感知,特定应用功能,信息存储与提取,通用"
分析一下王者荣耀当前版本,"模糊指代理解,自主寻找,条件判断,信息处理,信息存储与提取,通用"
明天早上7点提醒我要给导师发文件,"模糊指代理解,情境感知,设置条件触发,特定执行动作,可靠执行,特定语义功能,信息获取,信息存储与提取"
帮我选择一本与犯罪心理学相关的书籍供我阅读,"不确定方法理解,特定语义功能,自主寻找,条件判断,偏好分析,专业"
快递取一下,"不确定方法理解,不确定目标理解,隐性步骤提取,任务调度,特定执行动作,自主寻找"
陪我练一下王昭君英雄,"不确定方法理解,不确定目标理解,语序语气理解,句子成分缺失理解,抗冗余表达干扰,个性化知识理解,语义揣测,特定应用功能,特定语义功能"
我想要写一个科幻故事，给我一些独特的想法,"情境感知,个性化知识理解,偏好分析,通用,生成"
请查找有关于商务纠纷的法律条文,"自主寻找,信息权限,条件判断,信息处理,信息存储与提取,专业"
我很喜欢吃奶贝，还有哪家有类似商品,"个性化知识理解,特定语义功能,自主寻找,信息运算,条件判断,偏好分析"
打开摄像头看一下家里的狗狗在干吗，帮他开个罐头吧,"缺失限定语理解,语序语气理解,抗冗余表达干扰,个性化知识理解,特定执行动作,特定语义功能,自主寻找,信息权限,设备联通,信息处理,识别与理解"
请帮我按照重要程序排序整理这个文件夹的文献,"不确定方法理解,构建循环,隐性步骤提取,任务调度,可靠执行,特定语义功能,设备联通,条件判断,信息处理,信息存储与提取,识别与理解"
半小时后自动关闭B站,"设置条件触发,特定应用功能,特定执行动作"
找个好看的ppt模板,"不确定目标理解,自主寻找,信息运算,条件判断,偏好分析,信息存储与提取,通用"
整理最近的一些外交新闻,"自主寻找,信息权限,条件判断,信息存储与提取"
整理一个养老金相关的政策分析报告，5000字以上,"自主寻找,条件判断,信息处理,信息存储与提取,专业,生成"
最近我的睡眠情况怎么样,"模糊范围程度理解,情境感知,个性化知识理解,特定语义功能,信息权限,信息分析,信息存储与提取,专业"
帮忙规划旅行路线,"不确定目标理解,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,特定应用功能,特定语义功能,自主寻找,信息权限,信息分析,信息存储与提取,通用,专业,生成"
请帮我做一个蛋糕,"情境感知,隐性步骤提取,特定执行动作,可靠执行,特定语义功能,自主寻找,信息运算,偏好分析,信息存储与提取"
查看附近咖啡馆,"模糊范围程度理解,非常规表达理解,情境感知,特定语义功能,自主寻找"
请帮我自动回npy的消息，不能让ta生气,"不确定方法理解,不确定目标理解,非常规表达理解,模糊表达理解,语序语气理解,情境感知,个性化知识理解,语义揣测,设置条件触发,隐性步骤提取,任务调度,特定执行动作,可靠执行,特定应用功能,特定语义功能,自主寻找,信息处理,信息存储与提取,情感,生成"
帮我看看B站影视飓风更新了没有,"别名理解,特定应用功能,特定语义功能,自主寻找,条件判断"
完成数据标注工作最快的方法是什么,"模糊表达理解,语序语气理解,语义揣测,理解,特定语义功能,自主寻找,信息运算,条件判断,信息处理,生成"
让我一个小时之内不要碰手机,"不确定方法理解,语序语气理解,情境感知,设置条件触发,特定语义功能,设备联通"
我要出门了，帮我扫一下地，然后再拖一下,"不确定方法理解,不确定目标理解,抗冗余表达干扰,高级智能理解,隐性步骤提取,任务调度,特定执行动作,长任务,特定语义功能,信息获取,信息运算"
帮我联系相关专业的同学,"个性化知识理解,特定语义功能,自主寻找,设备联通,条件判断,通用"
帮我根据已有信息整理出一篇实验报告,"信息获取,信息处理,信息存储与提取,专业,生成"
把空调温度调到22度,"口语化表达理解,特定执行动作,特定应用功能,条件判断"
请打开小红书,"特定应用,特定语义功能"
帮我画一个关于123app的低保真页面,"不确定方法理解,不确定目标理解,专业,生成"
调研一下脊髓硬膜电刺激恢复运动领域有哪些课题组,"自主寻找,条件判断,信息处理,专业"
播放张杰最新的一首歌,"特定执行动作,特定应用功能,特定语义功能,信息获取,信息运算,信息分析,信息存储与提取"
我想看有趣的下饭视频,"不确定方法理解,模糊指代理解,语义揣测,特定应用功能,特定语义功能,自主寻找,偏好分析"
今天我什么时候晒衣服、什么时候收衣服,"情境感知,语义揣测,隐性步骤提取,特定应用功能,信息获取,条件判断,信息存储与提取,通用"
告诉我应该怎么提高我的写作技巧,"不确定目标理解,个性化知识理解,特定语义功能,信息获取,条件判断,偏好分析,信息处理,生成"
【产品相关资料上传后】生成某产品的文案，要求简洁明了。,"信息获取,信息分析,信息存储与提取,识别与理解,通用,专业,生成"
打开备忘录，记下证件材料放在了第三个柜子里面,"特定应用功能,信息处理,信息存储与提取"
帮我设置7点的闹钟,"不确定目标理解,特定执行动作,特定应用功能"
【写论文时】你现在是一名计算机专业的学生，你需要完成一篇以NLP语言理解为主题的论文，请写出该论文的大纲框架,"虚拟语气理解,情境感知,自主寻找,信息分析,信息存储与提取,专业,生成"
最近有什么娱乐大八卦呢,"模糊范围程度理解,口语化表达理解,隐性步骤提取,自主寻找,条件判断,信息存储与提取,通用"
帮我设置取快递的提醒,"不确定目标理解,个性化知识理解,设置条件触发,特定应用功能,特定语义功能,信息获取"
老番茄更新的视频在我休息时自动跳出播放,"模糊指代理解,语序语气理解,情境感知,个性化知识理解,设置条件触发,任务调度,特定执行动作,特定应用功能,信息获取,条件判断,信息存储与提取,通用"
帮我看看b站关注的up主有没有更新，有更新的话请播放最新视频,"缺失限定语理解,抗冗余表达干扰,任务调度,特定执行动作,可靠执行,特定应用功能,特定语义功能,信息获取,条件判断,信息处理,信息存储与提取"
小说更新提醒我一下,"设置条件触发,特定语义功能,自主寻找,条件判断,信息存储与提取,智能"
搜索如何制作一份好的汇报PPT,"特定语义功能,自主寻找,信息分析,信息存储与提取,专业"
打开keep软件记录运动时长,"特定应用功能,特定语义功能,信息处理,信息存储与提取"
根据我提供的主要观点和参考文献，写一篇discussion paper,"个性化知识理解,信息获取,信息分析,信息存储与提取,专业,生成"
帮我泰勒斯威夫特29日vip区座位的票,"非常规表达理解,口语化表达理解,语义揣测,可靠执行,特定语义功能,信息权限,信息处理"
搜集区块链相关的文献,"特定语义功能,自主寻找,信息分析,信息存储与提取,专业"
请生成一段python代码，需要满足以下需求：ui界面排布16个按钮，点击一个按钮后，按钮变色，然后上述按钮按照4*4分布，请修复,"大信息量理解,特定语义功能,信息处理,专业,生成"
搜索关键词为神经网络的相关文献,"特定语义功能,自主寻找,条件判断,信息存储与提取"
请帮我整理与大语言模型相关的文献,"自主寻找,条件判断,信息存储与提取,通用,专业,生成"
