expression,annotation
帮忙写一下电路原理的实验报告,"情境感知,个性化知识理解,通用,专业,生成,智能"
查找电路原理第一章学习资料,"特定语义功能,自主寻找,信息获取,专业"
拍星轨有哪些技巧,"高级智能理解,自主寻找,信息获取,条件判断,信息处理,信息存储与提取,专业,生成"
【预约完一个咸鱼送货订单】定一个明早九点的闹钟,"不完整目标理解,模糊表达理解,口语化表达理解,情境感知,个性化知识理解,隐性步骤提取,特定应用功能,设备联通,条件判断"
帮我简要制定一个7月25日~7月27日在三亚市三日游的旅游攻略，并安排好每日中午和晚间的用餐地点，用餐地点要有当地特色,"情境感知,个性化知识理解,高级智能理解,隐性步骤提取,任务调度,特定应用功能,特定语义功能,信息获取,信息处理,信息存储与提取,通用,生成"
帮我根据已有信息整理出一篇实验报告,"情境感知,信息获取,信息处理,信息存储与提取,专业,生成"
帮我规划一下去秦皇岛该玩哪些，定个计划,"情境感知,个性化知识理解,设置条件触发,构建循环,隐性步骤提取,任务调度,特定执行动作,长任务,复杂任务,操作,自主寻找,信息获取,条件判断,偏好分析,信息处理,信息存储与提取,信息,通用,专业,生成,智能,执行"
帮我跟闲鱼发布KT7商品的卖家小鱼儿沟通一下，争取把他发布的价格讲到8折以下,"特殊语序理解,抗冗余表达干扰,口语化表达理解,情境感知,个性化知识理解,高级智能理解,特定应用功能,特定语义功能,信息获取,信息运算,条件判断,信息处理,通用,生成"
帮我做一下旅游规划，尽量避开杭州市人流很多和经常堵车导致旅游体验感下降的地方,"情境感知,个性化知识理解,隐性步骤提取,任务调度,长任务,复杂任务,特定语义功能,自主寻找,信息获取,条件判断,偏好分析,信息分析,信息处理,信息存储与提取,生成"
从本地和互联网帮我整理一下半导体投资的信息,"自主寻找,信息权限,信息获取,条件判断,信息分析,信息处理,信息存储与提取,通用"
帮我调整角度和光影拍出ins风格的照片,"不完整方法理解,情境感知,个性化知识理解,高级智能理解,特定执行动作,特定应用功能,特定语义功能,设备联通,通用,专业,智能"
【在闲鱼发布页】帮我决定转让物品的价格并发布链接,"特定应用功能,特定语义功能,信息获取,信息分析,信息处理,信息存储与提取,通用"
帮我和咸鱼用户沟通一下，确定交易时间,"不完整目标理解,句子成分缺失理解,口语化表达理解,情境感知,个性化知识理解,特定应用功能,信息获取,信息处理,通用,智能"
提醒我开会时打开摄像头,"情境感知,设置条件触发,隐性步骤提取,特定应用功能,特定应用"
朗读今天的微博热搜,"特定执行动作,特定应用功能,特定语义功能,信息获取,信息处理"
查一下今日热门歌曲排行榜前三的歌曲、歌手名,"不完整目标理解,自主寻找,信息获取,条件判断,信息分析,信息处理"
打开哔哩哔哩播放稍后再看的视频,"特定执行动作,特定应用功能,特定语义功能,操作,信息获取,信息处理"
打开微博查找关注的人的动态,"隐性步骤提取,特定应用功能,特定应用,信息权限,信息获取,条件判断,信息处理"
打开猫耳fm继续播放,"特定执行动作,特定应用功能,特定应用,特定语义功能"
播放搞笑视频,"特定执行动作,特定语义功能,信息获取,条件判断,偏好分析"
半小时后自动关闭B站,"设置条件触发,特定应用功能,特定执行动作,特定应用"
今天有没有娱乐方面的热搜，给我读一下,"情境感知,特定执行动作,自主寻找,信息获取,条件判断,偏好分析,信息分析,信息处理,信息存储与提取"
帮我在“名单”文件夹中的excel表格中全都新加入一列收集性别信息,"构建循环,特定应用功能,特定语义功能,信息权限,信息获取,信息处理,信息存储与提取"
【在相册应用中】帮我给今天的照片集体加文字和滤镜,"特定应用功能,特定语义功能,信息权限,信息获取,信息处理,识别与理解,生成"
给我推送一首好歌,"抗冗余表达干扰,情境感知,特定语义功能,信息获取,偏好分析"
帮我查找关于jojo主题的图画参考,"不完整方法理解,特定语义功能,自主寻找,信息获取,条件判断,通用"
看看有哪些微信消息，着急的帮忙回复一下,"不完整方法理解,省略信息理解,个性化知识理解,构建循环,长任务,特定应用功能,特定应用,特定语义功能,信息权限,信息获取,条件判断,信息处理,信息存储与提取,信息,识别与理解,通用,生成,智能"
【正在输入消息页面时】帮我想想怎么更好的表达我想请假的意图,"口语化表达理解,情境感知,个性化知识理解,语义揣测,高级智能理解,信息获取,信息分析,信息处理,信息存储与提取,通用,情感,生成"
今天我要做什么来着，记得提醒我,"不完整目标理解,倒装语序理解,抗冗余表达干扰,情境感知,个性化知识理解,语义揣测,条件判断,信息存储与提取"
给我定制一个跑步十公里的歌单,"个性化知识理解,特定语义功能,信息获取,信息运算,信息处理,信息存储与提取"
【判生物作业时】帮我检查一下这道题目的正确性,"定冠词指代理解,情境感知,高级智能理解,信息获取,信息分析,信息处理,专业"
证明一下勾股定理,"信息运算,信息处理,专业,生成"
帮我对《未来简史》写一篇读书整理,"个性化知识理解,自主寻找,信息获取,信息分析,信息处理,信息存储与提取,生成,智能"
请帮我查一下费马小定理,"特定语义功能,自主寻找,信息获取,条件判断,信息处理"
切歌,"特定执行动作,特定应用功能,特定应用,特定语义功能"
帮我与标准答案核对一下作业文档中第2题的计算结果是否正确,"情境感知,特定语义功能,信息获取,信息分析,信息处理,信息存储与提取,专业"
帮我写一首以雨为主题的诗,"个性化知识理解,生成"
告诉我遇到男朋友冷暴力时怎么和他沟通，给出具体案例,"情境感知,个性化知识理解,语义揣测,高级智能理解,信息获取,信息处理,情感,生成"
帮我制定一下做的计划,"句子成分缺失理解,口语化表达理解,情境感知,个性化知识理解,高级智能理解,构建循环,隐性步骤提取,任务调度,信息获取,信息处理,生成"
播放《极乐净土》,"隐性步骤提取,特定执行动作,特定语义功能,自主寻找,条件判断"
我想写一篇关于不确定理论的论文，有哪些角度可以展开,"情境感知,个性化知识理解,高级智能理解,信息获取,条件判断,信息处理,专业,生成,智能"
【在做高数作业】这道题怎么做,"定冠词指代理解,情境感知,高级智能理解,专业,生成"
帮我生成一个适合与我在绘画时倾听的歌单,"情境感知,个性化知识理解,自主寻找,信息获取,偏好分析,信息处理,信息存储与提取,生成"
帮我把往年题文档里的高数问题按照知识点进行分类整理,"信息权限,信息获取,条件判断,信息分析,信息处理,信息存储与提取,识别与理解,专业"
整理一下我在3月15日~4月15日期间出错的题目,"信息获取,条件判断,信息处理,信息存储与提取,专业,智能"
帮我查找b站上关于俄乌战争的所有视频，按热度排序,"特定应用功能,特定应用,特定语义功能,信息获取,信息运算,条件判断,信息分析,信息处理"
帮我根据自己以往画的画生成新的指定内容的画,"个性化知识理解,语义揣测,信息存储与提取,生成,智能"
帮我整理房间里的东西,"不完整目标理解,祈使语气理解,口语化表达理解,个性化知识理解,构建循环,隐性步骤提取,特定执行动作,特定执行器件,可靠执行,操作"
帮我把这些衣服叠一下,"定冠词指代理解,特定执行动作,可靠执行"
帮我看看这幅画可以怎么润色,"情境感知,个性化知识理解,语义揣测,信息获取,信息处理,信息存储与提取,专业,生成,智能"
帮我查找并朗读一下这本书的书评,"定冠词指代理解,特定执行动作,特定语义功能,自主寻找,信息获取,信息运算,信息处理"
【使用微信读书时】翻到下一页,"特定执行动作,特定应用功能,特定应用"
关闭手机所有后台软件,"倒装语序理解,特殊语序理解,句子成分缺失理解,口语化表达理解,构建循环,特定执行动作,可靠执行,特定语义功能"
打开keep软件记录运动时长,"特定应用功能,特定语义功能,信息处理,信息存储与提取"
查找附近跑步线路和天气、路况,"不完整方法理解,情境感知,特定应用功能,特定语义功能,自主寻找,信息获取,信息运算,条件判断,信息分析,信息处理,信息存储与提取"
提醒开始运动计划,"缺失限定语理解,特殊语序理解,句子成分缺失理解,口语化表达理解,特定执行动作,特定语义功能,信息存储与提取,通用"
打开王者,"别名理解,特定执行动作,特定应用,特定语义功能"
关闭王者,"别名理解,模糊指代理解,模糊表达理解,特定执行动作,特定应用,特定语义功能"
开启有声书功能,"特定应用功能,特定应用,特定语义功能"
打开B站,"别名理解,特定执行动作,特定语义功能"
播放知识视频,"特定应用,特定语义功能,信息获取,条件判断,信息处理"
播放搞笑视频,"特定应用,特定语义功能,信息获取,条件判断,偏好分析,信息处理"
帮我整理一下微信新消息都是哪些人发来的,"隐性步骤提取,特定应用,信息获取,信息处理,信息存储与提取"
帮我给李小刚回复“稍等我一下，我马上下楼”消息,"不完整方法理解,特殊语序理解,特定应用功能"
帮我安排一个时长为1小时强度中等的健身计划,"不完整方法理解,不完整目标理解,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,长任务,可靠执行,特定语义功能,自主寻找,设备联通,信息获取,条件判断,偏好分析,信息处理,信息存储与提取,通用,生成"
帮我看一下今天天气适不适合运动,"不完整方法理解,情境感知,特定语义功能,自主寻找,信息获取,条件判断,偏好分析,信息分析,信息处理,通用"
规划一下跑步路线,"不完整方法理解,情境感知,个性化知识理解,高级智能理解,隐性步骤提取,规划,可靠执行,信息获取,偏好分析,信息分析,信息处理,专业"
目标地点附近车多不多,"不完整方法理解,不完整目标理解,模糊范围程度理解,情境感知,语义揣测,特定语义功能,信息获取,条件判断,偏好分析,信息分析,信息处理"
锁屏并释放白噪音帮我专注,"非常规表达理解,抗冗余表达干扰,情境感知,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,自主寻找,信息运算,条件判断,信息处理,信息存储与提取"
打开王者荣耀,"特定执行动作,特定应用"
关闭并锁定王者荣耀,"特殊语序理解,口语化表达理解,特定执行动作,特定执行器件,特定应用功能,特定语义功能,信息权限"
提醒我回复张小红微信消息,"不完整目标理解,情境感知,设置条件触发,特定应用功能,特定语义功能"
有点无聊，推荐点事情做一下,"抗冗余表达干扰,情境感知,个性化知识理解,隐性步骤提取,任务调度,信息获取,偏好分析,信息分析,信息处理,通用,情感,生成,智能"
