Unnamed: 0,expression,annotation
76,那天和小王的聊天记录发给我。,"定冠词指代理解,信息获取,信息存储与提取,特定应用功能"
77,这条短信翻译成英文。,"定冠词指代理解,信息运算,特定应用功能,高级任务解决,特定执行动作"
78,拍一张照片然后发在我的朋友圈。,"信息权限,不完整目标理解,情景感知,其它设备协作,特定应用功能,设备联通,特定执行动作,祈使语气理解"
79,把最近的健康数据同步到我的医生那里。,"信息权限,规划,其它设备协作,理解,特定应用,祈使语气理解,隐性步骤提取,模糊范围程度理解,信息获取,信息存储与提取,执行,设备联通,特定执行动作,模糊指代理解,信息处理"
80,把我现在听的这首歌分享到朋友圈。,"定冠词指代理解,自主寻找,特定应用功能,信息获取,非常规表达理解,特定执行动作,祈使语气理解"
81,看看我今天步数走到哪了？,"设备联通,特定执行动作,疑问语气理解,信息获取"
82,帮我打开我的照片库，找一下去年的这个时候的照片。,"信息权限,特定应用功能,条件判断,特定执行动作,祈使语气理解,信息处理"
83,搜一下我昨天看的那个电影的评价。,"信息分析,个性化知识理解,定冠词指代理解,情景感知,缺失限定语理解,信息运算,自主寻找,特定应用功能,特定应用,相似语义功能,信息存储与提取,信息获取,条件判断,特定执行动作,疑问语气理解"
84,总结一下群里的新文档的内容,"信息分析,不完整目标理解,特定应用功能,信息获取,高级任务解决"
85,我上周玩了多久的手机？,"信息分析,个性化知识理解,情景感知,信息运算,自主寻找,口语化表达理解,隐性步骤提取,模糊范围程度理解,信息获取,信息存储与提取,设备联通,高级智能理解,疑问语气理解,信息处理"
86,这附近有什么适合聚餐的餐厅？,"信息分析,定冠词指代理解,情景感知,自主寻找,特定应用,相似语义功能,信息获取,特定执行器件,特定执行动作,偏好分析"
87,我身体不舒服，给老师发个邮件请假,"信息权限,个性化知识理解,别名理解,特定应用功能,相似语义功能,特定执行动作,祈使语气理解"
88,把我b站投稿的发布时间改到晚上六点,"倒装语序理解,特定执行动作,特定应用功能"
89,删除我上个学期的作业文档,"信息分析,不完整方法理解,时间指代理解,特定应用功能,特定应用,句子成分缺失理解,模糊范围程度理解,信息存储与提取,特定执行动作,省略信息理解,祈使语气理解,信息处理"
90,提醒我开启待会的会议的录屏,"不完整目标理解,特定执行动作,设置条件触发,祈使语气理解"
91,帮我整理下昨天的课堂笔记,"特定应用功能,特定应用,信息获取,条件判断,其它设备协作,隐性步骤提取,祈使语气理解,省略信息理解,设备联通,特定执行动作,信息处理,不完整目标理解,个性化知识理解,信息分析,定冠词指代理解,不完整方法理解,信息运算,模糊范围程度理解,信息存储与提取,高级任务解决"
92,我昨天吃饭花了多少钱？,"信息权限,个性化知识理解,定冠词指代理解,信息运算,特定应用,句子成分缺失理解,相似语义功能,信息存储与提取,信息获取,设备联通,疑问语气理解"
93,跟小郭说明天十点见,"别名理解,个性化知识理解,不完整方法理解,特定应用功能,相似语义功能,隐性步骤提取,特定执行动作,祈使语气理解,信息处理"
94,在我出家门后把智能家居关了,"别名理解,情景感知,其它设备协作,特定执行器件,设备联通,特定执行动作,设置条件触发,祈使语气理解"
95,能帮我规划下记事本中列的待办事项吗,"规划,信息分析,不完整目标理解,理解,特定应用功能,特定应用,信息存储与提取,信息获取,设备联通,特定执行动作,疑问语气理解,信息处理"
96,给我刚看的视频点个赞,"不完整目标理解,定冠词指代理解,特定应用功能,隐性步骤提取,信息存储与提取,信息获取,设备联通,特定执行动作,祈使语气理解"
97,开启免打扰模式,"不完整目标理解,理解,特定应用功能,特定应用,执行,特定执行动作,祈使语气理解"
98,在群里发个午饭AA的群收款,"特定执行动作,祈使语气理解,信息存储与提取,特定应用功能"
99,微博上有什么新的热搜吗？,"设备联通,疑问语气理解,特定应用功能,信息获取"
100,上课前帮我登录下雨课堂,"特定执行动作,设置条件触发,情景感知,特定应用"
101,看看我同学游戏是否在线,"别名理解,情景感知,特定应用功能,信息获取,设备联通,特定执行动作,疑问语气理解"
102,把我很久没玩的游戏卸载了吧,"规划,个性化知识理解,长任务,情景感知,信息运算,特定应用功能,特定应用,模糊范围程度理解,信息存储与提取,特定执行动作,省略信息理解,祈使语气理解,信息处理"
103,小王发新朋友圈了吗,"别名理解,疑问语气理解,特定应用功能,信息获取"
104,问问学长有没有英语课推荐,"别名理解,特定应用功能,智能识别,特定执行动作,疑问语气理解"
105,在有wifi的时候下载那个歌单,"信息权限,定冠词指代理解,自主寻找,特定应用功能,特定执行器件,特定执行动作,设置条件触发"
106,帮我找个pytorch教程,"信息分析,自主寻找,相似语义功能,信息获取,特定执行动作,祈使语气理解"
107,把王xx的微信备注改成小王,"个性化知识理解,特定执行动作,特定应用功能,信息处理"
108,开启手机的深色模式,"特定执行动作,祈使语气理解,特定应用功能"
109,给小李发个OK的表情包,"别名理解,特定执行动作,祈使语气理解,特定应用功能"
110,在豆瓣上给某本书打三颗星,"信息权限,不完整目标理解,信息分析,自主寻找,特定应用功能,特定应用,特定执行器件,特定执行动作,祈使语气理解,信息处理"
111,帮我交下微积分作业,"信息权限,个性化知识理解,信息分析,不完整目标理解,不完整方法理解,可靠执行,特定应用功能,信息存储与提取,条件判断,设备联通,特定执行动作,祈使语气理解,信息处理"
112,新建个相簿存昨天聚会的照片,"定冠词指代理解,情景感知,不完整方法理解,特定应用功能,特定应用,信息存储与提取,信息获取,智能识别,特定执行动作,省略信息理解,祈使语气理解,信息处理"
113,提醒我10分钟后去学习,"情景感知,信息存储与提取,智能识别,特定执行动作,设置条件触发,祈使语气理解"
114,下单我购物车中的所有东西,"信息权限,积极情感倾向,不完整目标理解,长任务,个性化知识理解,信息处理,设置条件触发,口语化表达理解,特定应用功能,相似语义功能,模糊范围程度理解,信息存储与提取,信息获取,设备联通,特定执行动作,模糊意图理解,祈使语气理解,模糊指代理解"
115,领取支付宝中的所有学生优惠,"信息权限,个性化知识理解,不完整方法理解,口语化表达理解,特定应用功能,特定应用,隐性步骤提取,信息存储与提取,信息获取,高级任务解决,模糊范围程度理解,特定执行动作,祈使语气理解"
