expression,annotation
将后座的空调调高,"不确定方法理解,不确定目标理解,模糊范围程度理解,模糊指代理解,句子成分缺失理解,隐性步骤提取,特定执行动作"
下午一点要去经管学院开会,"不确定方法理解,不确定目标理解,个性化知识理解,信息获取,条件判断"
请总结以下文章的主要内容，不得超过200字：“xxx”,"信息获取,信息运算,信息分析,信息存储与提取,通用"
帮我搜索好看的ppt模板,"不确定目标理解,特定语义功能,自主寻找,条件判断,偏好分析,信息处理"
帮我定一个5点的闹铃并计入日程,"缺失限定语理解,个性化知识理解,设置条件触发,任务调度,特定执行动作,信息处理,信息存储与提取"
帮我写一篇1000字以内的关于魏晋哲学主题的proposal,"非常规表达理解,语序语气理解,特定语义功能,信息获取,信息处理,专业,生成"
自动洗烘衣服并整理,"不确定目标理解,情境感知,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,长任务,复杂任务,特定语义功能,自主寻找,信息权限,设备联通,信息处理,信息存储与提取,通用,生成"
请在今天下午三点钟提醒我要参加学长毕业欢送会,"不确定方法理解,个性化知识理解,设置条件触发,信息处理,信息存储与提取"
搜索2023调休安排,"不确定目标理解,特定语义功能,自主寻找"
一个月减肥十斤的运动和饮食建议,"情境感知,个性化知识理解,自主寻找,信息运算,条件判断,信息处理,信息存储与提取,专业,生成"
我很喜欢漫长的季节，还有类似的电视剧或者电影吗,"抗冗余表达干扰,个性化知识理解,特定语义功能,自主寻找,信息运算,偏好分析,识别与理解,通用"
今天适不适合出门,"不确定方法理解,不确定目标理解,抗冗余表达干扰,情境感知,语义揣测,隐性步骤提取,特定语义功能,自主寻找,信息权限,条件判断,信息处理,信息存储与提取,通用"
明天需要带伞吗,"不确定方法理解,自主寻找,条件判断"
陪伴式运动激励并互动,"不确定方法理解,非常规表达理解,语序语气理解,情境感知,个性化知识理解,特定执行动作,特定语义功能,信息获取,信息处理,情感,生成"
在明天早上7点打开窗帘,"不确定方法理解,不确定目标理解,设置条件触发,特定执行动作,执行"
我饿了（自动打开外卖软件）,"不确定目标理解,口语化表达理解,个性化知识理解,语义揣测,特定应用功能,特定语义功能"
帮我在“名单”文件夹中的excel表格中全都新加入一列收集性别信息,"构建循环,特定应用功能,特定语义功能,信息权限,信息处理,信息存储与提取"
送一份冰可乐过来,"不确定方法理解,不确定目标理解,口语化表达理解,情境感知,特定执行动作,操作,信息获取"
音量调大一点,"不确定方法理解,不确定目标理解,模糊范围程度理解,特定执行动作,特定语义功能"
饿了（帮做饭）,"不确定目标理解,句子成分缺失理解,语义揣测,特定执行动作,长任务,操作,自主寻找,信息分析,信息存储与提取,通用"
看看附近有哪些好玩的地方,"模糊范围程度理解,情境感知,自主寻找,条件判断,偏好分析,信息存储与提取"
总结以下文章的主要内容，并改写成一段新文章的引言,"信息获取,条件判断,信息处理,信息存储与提取,识别与理解,生成"
搜索做菜的教程视频并自动播放,"不确定方法理解,特定执行动作,特定语义功能,信息获取,偏好分析,智能"
请帮我看看好友茱莉亚有没有更新朋友圈,"个性化知识理解,特定应用功能,特定语义功能,信息获取,条件判断,信息存储与提取"
我想知道伴性遗传主题方面的前沿文献主要在讲什么,"口语化表达理解,自主寻找,信息分析,专业"
帮我安排一个时长为1小时强度中等的健身计划,"不确定方法理解,不确定目标理解,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,长任务,特定语义功能,自主寻找,设备联通,条件判断,偏好分析,信息存储与提取,通用,生成"
你是一个公管学院硕士生，请以三源流理论分析邻避问题,"虚拟语气理解,操作,信息获取,条件判断,专业,生成"
给我按摩一下肩膀,特定执行动作
根据抖音上的推荐，规划播放电影的最近电影院的最优路线,"复杂逻辑理解,情境感知,隐性步骤提取,复杂任务,特定应用功能,自主寻找,条件判断,偏好分析,信息存储与提取,通用"
帮我播一段好听的音乐,"不确定方法理解,不确定目标理解,特定执行动作,特定应用功能,特定语义功能,自主寻找,偏好分析"
请帮我打开Gale的消息，并告诉我消息内容,"缺失限定语理解,特定执行动作,特定应用功能,信息权限,信息处理,信息存储与提取"
明天早上七点叫我,"不确定方法理解,语序语气理解,语义揣测,设置条件触发,特定应用功能,特定语义功能"
生成一段关于某产品的文案，产品信息：“一款专为男士设计的面膜，清透补水，持久控油”，产品关键字面膜，要求时尚、吸引人。,"大信息量理解,情境感知,信息获取,信息处理,信息存储与提取,通用,生成"
请帮我在日程中标记事件并设置闹铃,"情境感知,个性化知识理解,构建循环,隐性步骤提取,任务调度,复杂任务,特定应用功能,特定语义功能,信息获取,信息处理,信息存储与提取"
帮我搜索最近法律热点信息并整理,"不确定方法理解,自主寻找,信息权限,条件判断,偏好分析,信息处理,信息存储与提取,通用"
请帮我打扫卫生,"不确定目标理解,抗冗余表达干扰,情境感知,构建循环,隐性步骤提取,任务调度,特定执行动作,可靠执行,特定语义功能,信息获取,条件判断,偏好分析,信息存储与提取,识别与理解,通用,生成"
Hey，siri，检查下微信王哥今晚约几点吃饭？回复他先不等我了,"不确定目标理解,别名理解,语序语气理解,抗冗余表达干扰,个性化知识理解,隐性步骤提取,特定执行动作,特定应用功能,特定语义功能,信息权限,条件判断,信息存储与提取"
看一下现在微信有多少需要回复的消息,"特定应用功能,信息权限,信息运算,条件判断,识别与理解"
我想买新衣服，有什么推荐（打开淘宝合适的商品界面）,"不确定目标理解,模糊指代理解,抗冗余表达干扰,个性化知识理解,语义揣测,特定应用功能,特定语义功能,自主寻找"
【在卧室】关窗帘,"情境感知,特定执行动作,特定语义功能"
帮我缝合一下这个伤口,"定冠词指代理解,特定执行动作,操作,识别与理解"
帮我根据自己以往画的画生成新的指定内容的画,"个性化知识理解,语义揣测,信息存储与提取,生成"
规划一下明天的行程安排,"抗冗余表达干扰,个性化知识理解,隐性步骤提取,任务调度,信息权限,信息处理,信息存储与提取,通用,生成"
上午十点帮我打开洗衣机，十一点确认关闭洗衣机并关闭水龙头,"复杂逻辑理解,设置条件触发,任务调度,特定执行动作,长任务,特定语义功能,信息权限,条件判断"
打开勿扰模式,"特定应用功能,特定语义功能"
列出如何高效制定工作安排,"抗冗余表达干扰,情境感知,理解,特定语义功能,自主寻找,条件判断,信息处理,信息存储与提取,通用"
请帮我查询可颂食物的卡路里,"缺失限定语理解,特定语义功能,自主寻找,偏好分析,信息处理"
请告诉我有没有新的消息,"不确定方法理解,缺失限定语理解,自主寻找,条件判断,信息存储与提取"
请帮我联系我的室友，求求他帮我把寝室清洁的事情干了,"不确定目标理解,句子成分缺失理解,抗冗余表达干扰,个性化知识理解,隐性步骤提取,任务调度,特定语义功能,信息权限,信息处理,信息存储与提取,生成"
预订去北京的火车票,"不确定方法理解,不确定目标理解,个性化知识理解,任务调度,长任务,特定语义功能,信息获取,信息处理"
帮我安排未来一周的日程，每天提醒我需要为这一周的日程做哪些工作，在日程开始前提醒我参加，你要达到的标准是我能提前1天完成所有任务的准备，并提前5分钟到达日程现场,"抗冗余表达干扰,复杂逻辑理解,大信息量理解,情境感知,构建循环,隐性步骤提取,任务调度,特定执行动作,长任务,复杂任务,特定语义功能,信息权限,条件判断,偏好分析,信息处理,信息存储与提取,通用,生成,执行"
解释一下蔡徐坤是什么情况,"自主寻找,条件判断"
请帮我记录一个明天早上7点的提醒事项,"不确定方法理解,不确定目标理解,特定应用功能,特定语义功能,信息存储与提取"
帮我润色一下这段话：“xxx”,"口语化表达理解,个性化知识理解,语义揣测,信息处理,通用"
搜一搜最近有什么新上的电影，评价如何？,"特定语义功能,自主寻找,信息运算,条件判断,信息处理,信息存储与提取"
帮我写篇拓扑几何前沿研究主题的文献综述,"自主寻找,信息处理,信息存储与提取,专业,生成"
上午九点开始，每隔二十分钟提醒我要喝水,"语序语气理解,设置条件触发,构建循环,隐性步骤提取,任务调度,特定执行动作,特定应用功能,特定语义功能,信息处理,信息存储与提取"
2. 你现在是一名博主，你需要根据我提供给你的内容，拟定出一个吸引人的标题，字数在15字以内,"虚拟语气理解,情境感知,个性化知识理解,信息获取,条件判断,信息存储与提取,专业,生成"
【拍照后】将拍到的照片发到社交媒体上,"不确定目标理解,模糊指代理解,特定执行动作,特定应用功能,特定语义功能,信息权限,条件判断"
空调开到27度,"特定执行动作,特定应用功能"
【自驾游时】这里有什么适合拍照的角度和位置,"不确定方法理解,定冠词指代理解,情境感知,信息获取,信息分析,信息存储与提取,专业"
请帮我打开美颜相机,"别名理解,特定应用,特定语义功能"
请帮我写一段情真意切且不落俗套的生日祝福,"个性化知识理解,情感,生成"
点个清淡的外卖,"模糊范围程度理解,模糊指代理解,个性化知识理解,特定执行动作,特定应用功能,特定语义功能,信息权限,信息运算"
请打开空调,"特定执行动作,特定语义功能"
打开小红书，告诉我哪个发色今夏最火,"特定语义功能,自主寻找,条件判断,信息处理,信息存储与提取"
播放歌曲<想你的365天>,"特定执行动作,特定应用功能,特定语义功能,自主寻找"
排一下近期的ddl并预估完成时间,"不确定目标理解,模糊范围程度理解,个性化知识理解,特定应用功能,特定语义功能,信息获取,条件判断,信息处理,信息存储与提取,通用"
帮我查找关于jojo主题的图画参考,"不确定方法理解,特定语义功能,自主寻找,条件判断,通用"
帮我与标准答案核对一下作业文档中第2题的计算结果是否正确,"情境感知,特定语义功能,信息获取,信息分析,信息存储与提取,专业"
如果你是应急管理部门工作人员，应对体育场顶部塌陷事件需要出一份公关稿，写一份要点和大纲,"不确定目标理解,模糊指代理解,虚拟语气理解,情境感知,特定语义功能,自主寻找,信息处理,信息存储与提取,专业,情感,生成"
什么是股份回购知识,"非常规表达理解,口语化表达理解,自主寻找,条件判断,信息存储与提取"
【戴脸基尼】帮我解锁,"不确定目标理解,非常规表达理解,情境感知,特定执行动作,特定应用功能"
帮我搭配一下明天的衣服,"不确定目标理解,个性化知识理解,语义揣测,信息权限,偏好分析,信息处理,信息存储与提取"
陪我聊天,"情境感知,个性化知识理解,通用,情感,生成"
我想把这段文字变成简洁好看的ppt,"定冠词指代理解,特定应用功能,信息获取,信息分析,专业,生成"
请帮我搜索与脑机接口相关的学术文献,"特定语义功能,自主寻找,信息权限,条件判断,专业"
打开创新创业论坛文件,"不确定目标理解,特定执行动作,特定语义功能,信息权限,条件判断"
打开bilibili,特定应用
打开QQ浏览器，根据数码产品官网信息，将好用的数码产品功能及价格以邮件的方式发给自己，并附上官网网址,"大信息量理解,个性化知识理解,任务调度,长任务,特定应用功能,特定语义功能,信息权限,条件判断,偏好分析,信息存储与提取"
把最近工作进展做成ppt,"不确定目标理解,模糊范围程度理解,模糊指代理解,隐性步骤提取,任务调度,特定应用功能,特定语义功能,信息权限,条件判断,信息存储与提取,通用,生成"
请列出近期研究中阿尔兹海默症的发病机制和药物治疗,"不确定目标理解,模糊范围程度理解,自主寻找,信息分析,信息存储与提取,专业"
和我玩成语接龙,"语序语气理解,情境感知,特定语义功能,信息获取,信息处理,信息存储与提取,识别与理解,生成"
请推荐学校附近好吃的外卖和餐厅,"别名理解,个性化知识理解,任务调度,自主寻找,信息运算,条件判断,偏好分析,信息处理,通用"
天猫精灵，请打开休息模式（对应的灯光、音响、投影、空调等相应开启）,"情境感知,个性化知识理解,特定执行动作,可靠执行,特定语义功能,信息权限,条件判断,信息处理"
把不需要回复的消息改为已读,"模糊表达理解,个性化知识理解,构建循环,隐性步骤提取,特定语义功能,信息获取,信息处理,识别与理解"
20分钟后叫我（设闹钟）,"个性化知识理解,语义揣测,设置条件触发,特定应用功能"
写一篇脊髓硬膜电刺激恢复运动论文，引用最前沿的文献,"信息获取,条件判断,信息处理,信息存储与提取,专业,生成"
明天上午十点进入腾讯会议123-456-7890,"不确定目标理解,设置条件触发,特定应用功能,信息处理,信息存储与提取"
打开菜鸟裹裹查询快递进度,"不确定目标理解,模糊指代理解,特定应用功能,特定语义功能,信息获取,通用"
打开腾讯会议，加入主题团日会议，关闭摄像头,"特定执行动作,长任务,特定应用功能,特定语义功能,条件判断"
如果我需要做一份关于社会实践的报告，请给出报告的大纲,"不确定目标理解,情境感知,个性化知识理解,任务调度,信息获取,信息处理,信息存储与提取,生成"
请帮我写一篇能发表在cvpr上的论文,"情境感知,个性化知识理解,信息获取,信息处理,信息存储与提取,专业,生成"
【在某一个界面】请找到社区工作列表中对应的文化服务部分,"特定执行动作,特定语义功能,自主寻找,条件判断,识别与理解"
请帮我分析电影封神第一部的评价，帮我决定要不要看,"自主寻找,偏好分析,信息处理,通用"
把家里厨房门关上，别夹到狗狗的脚了,"口语化表达理解,特定执行动作,特定语义功能,信息获取,条件判断,识别与理解"
请帮我自动回复电子邮件,"省略信息理解,模糊指代理解,设置条件触发,可靠执行,特定应用功能,特定语义功能,信息权限,信息处理,信息存储与提取,通用,生成"
按照重要程度将一些DDL和社工任务排序，并标注颜色，例如最紧迫的是红色，并作出规划和提醒,"不确定方法理解,口语化表达理解,大信息量理解,个性化知识理解,设置条件触发,构建循环,隐性步骤提取,复杂任务,操作,信息获取,条件判断,信息处理,信息存储与提取,智能"
"心情不好,放点歌","不确定目标理解,特定应用功能,特定语义功能,自主寻找,偏好分析,情感"
五道口附近评分高的餐厅,"不确定目标理解,模糊范围程度理解,个性化知识理解,特定语义功能,自主寻找,条件判断,信息处理"
根据我的关键词查找文献,"个性化知识理解,特定语义功能,自主寻找,信息运算,条件判断,信息处理,信息存储与提取"
请在接下来2小时内帮我自动回复导师的信息，帮我掩饰我在外面玩的事情,"别名理解,个性化知识理解,设置条件触发,自主寻找,条件判断,信息存储与提取,情感,生成"
拍星轨有哪些技巧,"高级智能理解,自主寻找,条件判断,信息存储与提取,专业,生成"
请列出公共管理领域相关最新文献,"模糊范围程度理解,自主寻找,信息存储与提取,专业"
请帮我寄件,"不确定方法理解,不确定目标理解,缺失限定语理解,模糊表达理解,语序语气理解,个性化知识理解,构建循环,隐性步骤提取,任务调度,特定执行动作,可靠执行,特定应用功能,特定语义功能,信息权限,设备联通,信息处理,信息存储与提取,通用"
请把空调调到24度,"特定执行动作,特定语义功能"
帮我设定一个10点的闹钟，提醒我去锻炼,"模糊范围程度理解,语序语气理解,情境感知,特定应用功能,设备联通,信息存储与提取"
查找创新创业论坛文件,"模糊指代理解,特定语义功能,自主寻找,信息权限,信息存储与提取"
提前10分钟提醒我参加组会,"不确定方法理解,个性化知识理解,设置条件触发,隐性步骤提取,任务调度,信息权限,信息处理,信息存储与提取"
把微信所有消息设置为已读,"不确定方法理解,构建循环,特定应用功能"
我想这周打羽毛球，帮我定个场，最好是吃饭前去打，如果能挨着订两个场就最好了，不行的话一个大场也行，要是没有就帮我买晚上八点后的电影票吧,"不确定方法理解,不确定目标理解,抗冗余表达干扰,复杂逻辑理解,大信息量理解,情境感知,个性化知识理解,任务调度,特定执行动作,复杂任务,特定应用功能,特定语义功能,自主寻找,设备联通,信息运算,条件判断,信息处理,信息存储与提取,智能"
请帮我看看今天的热搜是什么,"不确定方法理解,特定应用功能,自主寻找"
帮我总结一下上周的工作内容,"个性化知识理解,信息权限,信息处理,信息存储与提取,通用"
在SPSS中，我的数据结构如下，如何将其转换成这一种数据结构,"特定应用,信息获取,条件判断,信息处理,信息存储与提取,识别与理解,专业"
打开王者荣耀,"特定执行动作,特定应用"
提醒我明天七点到清华大学（导航）,"不确定方法理解,不确定目标理解,语序语气理解,设置条件触发,特定语义功能"
帮我根据设计图采购所有原料,"模糊指代理解,情境感知,构建循环,长任务,复杂任务,特定语义功能,自主寻找,信息权限,条件判断,信息处理,信息存储与提取,识别与理解,能力"
请帮我选择我应该吃什么,"不确定目标理解,抗冗余表达干扰,情境感知,个性化知识理解,特定语义功能,自主寻找,条件判断,偏好分析,通用"
备忘录记录待办事件开会,"语序语气理解,句子成分缺失理解,特定应用功能,特定语义功能"
帮我把这些衣服叠一下,"定冠词指代理解,特定执行动作,可靠执行"
告诉小元，我现在有点事不方便接电话,"不确定目标理解,别名理解,缺失限定语理解,口语化表达理解,情境感知,隐性步骤提取,可靠执行,特定语义功能,信息获取,信息处理,生成"
请帮我写一封邮件，问问教务老师这学期什么时候评教，注意礼貌,"不确定目标理解,语序语气理解,情境感知,特定应用功能,特定语义功能,信息权限,条件判断,信息存储与提取,通用,生成"
请帮我修改并润色这段文字，要求具有学术风格,"定冠词指代理解,抗冗余表达干扰,情境感知,语义揣测,信息处理,专业,生成"
小度小度，请搜索离家最近的餐厅,"个性化知识理解,特定语义功能,自主寻找,条件判断,偏好分析,信息处理"
请问明天的天气怎么样,"缺失限定语理解,情境感知,自主寻找,信息权限,条件判断,信息处理,信息存储与提取"
请帮我将电子邮件的优先级进行排序,"特定应用功能,信息权限,信息运算,条件判断,偏好分析,信息处理,识别与理解"
请帮我把手机拿过来,"缺失限定语理解,口语化表达理解,隐性步骤提取,特定执行动作,自主寻找,识别与理解"
今晚想吃一荤一素配牛油锅酸奶，做一下吧,"不确定目标理解,模糊范围程度理解,非常规表达理解,模糊表达理解,句子成分缺失理解,抗冗余表达干扰,情境感知,设置条件触发,隐性步骤提取,任务调度,特定执行动作,可靠执行,特定语义功能,信息获取,信息处理"
“xxx”法律问题如何解决,"信息获取,条件判断,信息处理,专业,生成"
开一把王者荣耀英雄的1v1，查一下新英雄的出装攻略和打法分析,"模糊指代理解,语序语气理解,抗冗余表达干扰,隐性步骤提取,特定应用功能,特定语义功能,信息获取,信息分析,信息存储与提取,通用"
今天下午三点自动登录腾讯会议,"设置条件触发,特定应用功能,信息权限"
没抢到票，记得帮我刷票,"不确定方法理解,不确定目标理解,句子成分缺失理解,抗冗余表达干扰,隐性步骤提取,任务调度,特定执行动作,可靠执行,特定语义功能,自主寻找,信息处理,信息存储与提取"
